
Combo Mastery
Level | Combo | left

3 | 5 AM Wine | 35
3 | One Man Musical | 10
2 | Another Lousy Millenium | 70
2 | Badminton Roger | 30
2 | Baseball Chris | 0
2 | Bender's Clowns | 10
2 | Bender's Ducklings | 45
2 | Bending School Grad | 40
2 | Blueberry Delivery Girl | 35
2 | Blueberry Picker | 95
2 | Boy Witch Steve | 0
2 | Brian Statue | 50
2 | Captain Leela | 35
2 | Cartel Klaus | 0
2 | Castanet Zoidberg | 70
2 | Celebeartions | 20
2 | Chicken Fight | 0
2 | Chosen Brain Fry | 0
2 | Chris Painting | 0
2 | Christmas Trap | 0
2 | Church Wine Drunk | 0
2 | Cigarette Addicts | 0
2 | Cognac Bender | 90
2 | Criss Cross Applesauce | 90
2 | Cupid Bobby | 25
2 | Dancing Peggy | 10
2 | Devil Hank | 30
2 | Diamond Ring Lois | 45
2 | Diarama Gene | 0
2 | Draw Me Gene | 0
2 | Draw Me Tina | 70
2 | Dream Guitar | 50
2 | Drunk Peter | 35
2 | Drunk Stan | 0
2 | Eggnog Roger | 80
2 | Fever Dreams | 35
2 | Freezerdome Gene | 0
2 | Fry in Robot Disguise | 0
2 | Fry's Macaroni Art | 30
2 | Fry's Painting | 65
2 | Gingerbread Sculptor | 95
2 | Goddess of Beauty | 35
2 | Golfer Amy | 0
2 | Gun Safety Peter | 60
2 | Half Dog Gene | 0
2 | Hank Hill, Running Back | 20
2 | Heavy Metal Hayley | 50
2 | High School Bill | 0
2 | High School Linda | 0
2 | Hip Hop Bob | 30
2 | I am Mona | 0
2 | Jose Servo | 0
2 | Knife Fight Stewie | 0
2 | Kuchi Kopi Sculptor | 5
2 | Laser Gun Stewie | 60
2 | Leela Balloon Art | 0
2 | Life Drawing Hayley | 10
2 | Lounge Singer Hayley | 45
2 | Marionette Chris | 45
2 | Martian Calendar | 15
2 | Medicated Stewie | 70
2 | Meg Portrait | 55
2 | Michael Dangle-low | 60
2 | Mowing While Intoxicated | 10
2 | Mural Restorer | 70
2 | Music Video Stewie | 65
2 | Musical Linda | 70
2 | Pan Flute Stewie | 0
2 | Party All the Time | 85
2 | Pigeon Bill | 0
